id,name,price,quantity
1543,"Cord set, starter relay (RED)",640,4
1544,SIDE COVER R PASSENGER SEAT,230,1
1545,BRKT CROSS MEMBER B,15,5
1546,BRACKET SIDE TUBE,30,5
1547,BRKT SIDE PANEL L,205,5
1548,BRKT SIDE PANEL R,205,5
1549,Piston Ring Top 4S,245,2
1550,TUBE OUTLET . EXP,290,5
1551,KIT PARKING BRAKE,1085,5
1552,RATCHET HAND START,230,1
1553,SHIM 28x38x1.0,15,72
1554,Shock Absorber Front W/O Spring,870,322
1555,Piston Pin 4S,150,2
1556,DIGITAL TCI UNIT 4S L/C,1560,67
1557,DIFFERENTIAL ASSY -   4 STROKE 3 WHEELER,5285,11
1558,BACK PLATE SUB ASSY L (AA),1760,1
1559,BACK PLATE SUB ASSY FR (AA),2050,1
1560,Inter Bracket PH 2.2 New ( NI),1710,5
1561,KIT OIL FILTER O RING,110,55
1562,KIT CRANKSHAFT BEARING,1280,1
1563,KIT TIMING CHAIN REPAIR,1380,105
1564,"LINK ,REAR ENG CRADLE",225,5
1565,"BRACKET,FUEL TANK",45,0
1566,LID BATTERY BOX,65,5
1567,FM RADIO ASSY,2635,2
1568,KIT UTILITY BOX,1030,90
1569,STAY BUMPER MTG COMP,470,20
1570,ROTOR Assy ES,3350,64
1571,WIRING HARNESS FRONT LPG/CNG,2395,5
1572,KIT IDLE STAND,430,85
1573,CABLE CLUTCH M,450,400
1574,BACK REST DRIVER,2740,5
1575,METALIC FENDER WINE RED,1804,2
1576,MUSIC SYTEM ASSLY,4535,15
1577,CANVAS KIT SOFT TOP RIK BLACK,2920,10
1578,FR. INDICATOR GLASS RH (CL),120,200
1579,2ND STAGE CNG REDUCER UP .077 4S,11500,39
1580,BRKT CLUTCH CABLE (M),55,70
1581,2S CROSS MEBER ENGINE MTG REAR,550,5
1582,PIVOT PIN FRONT 1,245,20
1583,GASKET CYLINDER HEAD,190,1975
1584,PIVOT PIN FRONT 4,245,20
1585,PIVOT PIN FRONT 3,245,20
1586,PIVOT PIN FRONT 5 TH,245,20
1587,PIVOT PIN FRONT 2,245,20
1588,CLIP HEAD LAMP HOLDER,5,50
1589,CRPH SCREW M5*12,10,20
1590,,,0
1591,FRONT INDICATOR GLASS RH (CL),130,200
1592,FIXTURE ENGINE ASSLY,36815,4
1593,MAGNETO ASSY ES,4510,55
1594,4S TUBE OUTLET CNG/LPG ,330,20
1595,LENS ASSLY REAR COMB LAMP,170,50
1596,PULLER ASSY NEEDLE BEARING,3210,10
1597,AT LOCK NUT STEERING COLLUM,3825,10
1598,EXTRACTOR ASSY INLET & EXHAUST VALVE,2065,10
1599,BUMPER CHASSIS MOUNTED G YELLOW,1245,10
1600,KIT BUMPER G YELLOW,1640,25
1601,TELL TALE LAMP CLUSTER  LPG/CNG,560,160
1602,Wiring Harness RR LPG/CNG,1475,5
